id,movie,rank
3290972257,The Empire Strikes Back,3
3290972257,Return of the Jedi,2
3290971794,The Phantom Menace,5
3290971794,Attack of the Clones,6
3290971794,Revenge of the Sith,4
3290971794,A New Hope,3
3290971794,The Empire Strikes Back,1
3290971794,Return of the Jedi,2
3290961497,The Phantom Menace,5
3290961497,Attack of the Clones,1
3290961497,Revenge of the Sith,6
3290961497,A New Hope,2
3290961497,The Empire Strikes Back,3
3290961497,Return of the Jedi,4
3290947136,The Phantom Menace,1
3290947136,Attack of the Clones,2
3290947136,Revenge of the Sith,3
3290947136,A New Hope,5
3290947136,The Empire Strikes Back,6
3290947136,Return of the Jedi,4
3290947011,The Phantom Menace,5
3290947011,Attack of the Clones,2
3290947011,Revenge of the Sith,1
3290947011,A New Hope,4
3290947011,The Empire Strikes Back,3
3290947011,Return of the Jedi,6
3290944858,The Phantom Menace,3
3290944858,Attack of the Clones,1
3290944858,Revenge of the Sith,2
3290944858,A New Hope,4
3290944858,The Empire Strikes Back,5
3290944858,Return of the Jedi,6
3290929229,The Phantom Menace,4
3290929229,Attack of the Clones,5
3290929229,Revenge of the Sith,6
3290929229,A New Hope,1
3290929229,The Empire Strikes Back,2
3290929229,Return of the Jedi,3
3290922858,The Phantom Menace,4
3290922858,Attack of the Clones,5
3290922858,Revenge of the Sith,6
3290922858,A New Hope,1
3290922858,The Empire Strikes Back,2
3290922858,Return of the Jedi,3
3290919823,The Phantom Menace,4
3290919823,Attack of the Clones,5
3290919823,Revenge of the Sith,6
3290919823,A New Hope,3
3290919823,The Empire Strikes Back,2
3290919823,Return of the Jedi,1
3290919419,The Phantom Menace,5
3290919419,Attack of the Clones,6
3290919419,Revenge of the Sith,4
3290919419,A New Hope,2
3290919419,The Empire Strikes Back,3
3290919419,Return of the Jedi,1
3290917153,The Phantom Menace,5
3290917153,Attack of the Clones,6
3290917153,Revenge of the Sith,4
3290917153,A New Hope,2
3290917153,The Empire Strikes Back,1
3290917153,Return of the Jedi,3
3290917131,The Phantom Menace,4
3290917131,Attack of the Clones,5
3290917131,Revenge of the Sith,6
3290917131,A New Hope,1
3290917131,The Empire Strikes Back,2
3290917131,Return of the Jedi,3
3290916554,The Phantom Menace,4
3290916554,Attack of the Clones,3
3290916554,Revenge of the Sith,5
3290916554,A New Hope,2
3290916554,The Empire Strikes Back,6
3290916554,Return of the Jedi,1
3290915885,The Phantom Menace,3
3290915885,Attack of the Clones,6
3290915885,Revenge of the Sith,5
3290915885,A New Hope,1
3290915885,The Empire Strikes Back,4
3290915885,Return of the Jedi,2
3290910069,The Phantom Menace,3
3290910069,Attack of the Clones,4
3290910069,Revenge of the Sith,5
3290910069,A New Hope,6
3290910069,The Empire Strikes Back,1
3290910069,Return of the Jedi,2
3290902880,The Phantom Menace,4
3290902880,Attack of the Clones,6
3290902880,Revenge of the Sith,5
3290902880,A New Hope,1
3290902880,The Empire Strikes Back,2
3290902880,Return of the Jedi,3
3290901027,The Phantom Menace,4
3290901027,Attack of the Clones,5
3290901027,Revenge of the Sith,6
3290901027,A New Hope,2
3290901027,The Empire Strikes Back,1
3290901027,Return of the Jedi,3
3290888079,The Phantom Menace,2
3290888079,Attack of the Clones,3
3290888079,Revenge of the Sith,4
3290888079,A New Hope,5
3290888079,The Empire Strikes Back,6
3290888079,Return of the Jedi,1
3290879019,The Phantom Menace,4
3290879019,Attack of the Clones,5
3290879019,Revenge of the Sith,6
3290879019,A New Hope,1
3290879019,The Empire Strikes Back,2
3290879019,Return of the Jedi,3
3290878766,The Phantom Menace,4
3290878766,Attack of the Clones,5
3290878766,Revenge of the Sith,6
3290878766,A New Hope,1
3290878766,The Empire Strikes Back,2
3290878766,Return of the Jedi,3
3290873342,The Phantom Menace,6
3290873342,Attack of the Clones,2
3290873342,Revenge of the Sith,3
3290873342,A New Hope,4
3290873342,The Empire Strikes Back,1
3290873342,Return of the Jedi,5
3290871307,The Phantom Menace,6
3290871307,Attack of the Clones,4
3290871307,Revenge of the Sith,5
3290871307,A New Hope,1
3290871307,The Empire Strikes Back,2
3290871307,Return of the Jedi,3
3290863729,The Phantom Menace,5
3290863729,Attack of the Clones,6
3290863729,Revenge of the Sith,2
3290863729,A New Hope,4
3290863729,The Empire Strikes Back,1
3290863729,Return of the Jedi,3
3290863193,The Phantom Menace,5
3290863193,Attack of the Clones,6
3290863193,Revenge of the Sith,4
3290863193,A New Hope,1
3290863193,The Empire Strikes Back,3
3290863193,Return of the Jedi,2
3290860908,The Phantom Menace,6
3290860908,Attack of the Clones,5
3290860908,Revenge of the Sith,3
3290860908,A New Hope,4
3290860908,The Empire Strikes Back,1
3290860908,Return of the Jedi,2
3290860842,The Phantom Menace,3
3290860842,Attack of the Clones,4
3290860842,Revenge of the Sith,6
3290860842,A New Hope,5
3290860842,The Empire Strikes Back,1
3290860842,Return of the Jedi,2
3290860558,The Phantom Menace,6
3290860558,Attack of the Clones,4
3290860558,Revenge of the Sith,3
3290860558,A New Hope,1
3290860558,The Empire Strikes Back,2
3290860558,Return of the Jedi,5
3290858543,The Phantom Menace,4
3290858543,Attack of the Clones,3
3290858543,Revenge of the Sith,5
3290858543,A New Hope,2
3290858543,The Empire Strikes Back,1
3290858543,Return of the Jedi,6
3290855818,The Phantom Menace,5
3290855818,Attack of the Clones,6
3290855818,Revenge of the Sith,4
3290855818,A New Hope,1
3290855818,The Empire Strikes Back,2
3290855818,Return of the Jedi,3
3290854802,The Phantom Menace,6
3290854802,Attack of the Clones,5
3290854802,Revenge of the Sith,4
3290854802,A New Hope,3
3290854802,The Empire Strikes Back,1
3290854802,Return of the Jedi,2
3290848617,The Phantom Menace,4
3290848617,Attack of the Clones,5
3290848617,Revenge of the Sith,6
3290848617,A New Hope,3
3290848617,The Empire Strikes Back,1
3290848617,Return of the Jedi,2
3290846848,The Phantom Menace,1
3290846848,Attack of the Clones,2
3290846848,Revenge of the Sith,3
3290846848,A New Hope,4
3290846848,The Empire Strikes Back,5
3290846848,Return of the Jedi,6
3290846466,The Phantom Menace,1
3290846466,Attack of the Clones,6
3290846466,Revenge of the Sith,5
3290846466,A New Hope,2
3290846466,The Empire Strikes Back,4
3290846466,Return of the Jedi,3
3290845367,The Phantom Menace,5
3290845367,Attack of the Clones,4
3290845367,Revenge of the Sith,6
3290845367,A New Hope,1
3290845367,The Empire Strikes Back,3
3290845367,Return of the Jedi,2
3290845046,The Phantom Menace,4
3290845046,Attack of the Clones,5
3290845046,Revenge of the Sith,6
3290845046,A New Hope,2
3290845046,The Empire Strikes Back,1
3290845046,Return of the Jedi,3
3290810023,The Phantom Menace,1
